Date,Loc,TempLow,TempHigh,Evaporation,Sun,WindDir,WindSpeed,DayWindDir,NightWindDir,WindSpeed9am,WindSpeed3pm,DayHumidity,NightHumidity,Pressure9am,Pressure3pm,DayCloud,NightCloud,Temp9am,Temp3pm,Label,RISK_MM
2009/7/11,,19.4,34.04,,7.06,S,47,,S,,23,73.79653333,93.6983112,1013.44,1009.856,5.6,3.4,30.62,28.96,1,3.9
2009/10/11,Albany,20.3,28.04,8,8.34,,,SE,,23,23,65.65373534,77.32527151,1021.84,,4.8,3.4,,22.1,0,0.4
2010/3/21,Canberra,4.7,21.92,5.389920928,,S,,NNW,,10,15,51.23370687,,1007.28,1005.192,4.8,,15.28,15.52,0,0.7
2014/6/16,Cobar,25.1,47.48,22.4,12.26,,30,,E,41,36,18.22399535,84.39898664,1015.232,1008.536,,0.1,,44.78,0,3.6
2013/7/13,Cobar,,51.08,5.389920928,8.094581609,W,22,ENE,W,2,41,-1.563348882,,1008.736,,,3.705932297,40.24,47.3,0,
2014/11/6,Bendigo,,28.28,,8.094581609,,48,,SSW,21,6,33.51717257,96.03779798,,1015.752,1.6,0.1,19.18,22.8,0,0.2
2016/6/29,Canberra,-0.7,14.72,-0.4,6.58,NW,96,NW,WNW,67,65,59.98135472,70.96831652,1016.464,,4,3.705932297,11.38,5.16,0,0.7
2010/11/5,Williamtown,15.65,36.32,3.2,,NW,64,WNW,,45,,53.75138341,,1018.368,,7.2,6.7,26.72,31.9,0,
2009/5/26,NorfolkIsland,17.15,28.16,,,WSW,29,NW,WNW,,52,106.0499343,54.62314751,,1018.744,1.6,6.7,28.54,20.56,0,5.9
2017/3/5,,5.15,,-3.6,4.18,SSW,45,,SSW,5,,,75.95471717,1036.736,1027.544,4.133812722,3.705932297,14.89,15.94,1,
2013/1/11,,14.15,,12.8,8.094581609,W,,WNW,,19,19,25.07662712,85.99512532,1006.832,,,2.3,28.41,33.86,0,
,Richmond,24.8,42.2,17.2,,,41,N,E,10,-7,,110.0717769,1012.096,1005.544,4.133812722,,,40.02,0,
2013/5/17,Canberra,-4.3,17.6,,6.9,NNW,57,N,N,46,29,49.50701307,135.2590489,,1013.024,6.4,,4.36,9.22,0,0.2
2016/8/10,Launceston,,,,8.094581609,NW,,SE,N,,23,50.28188838,,1022.064,,4.133812722,3.705932297,20.35,20.84,0,1.1
2015/10/19,,24.95,,4,9.3,,53,E,NW,27,56,47.63953814,,1017.472,1010.296,4.8,4.5,34.78,39.04,0,1.9
2010/11/28,Penrith,9.05,32.36,5.389920928,8.094581609,,,SE,SW,-12,3,,81.70116394,1020.198382,,4.133812722,3.705932297,,27.84,0,0.3
2011/11/6,Mildura,,36.8,-3.2,6.82,WSW,30,SE,SW,9,,81.92506384,108.9334753,1005.376,1003.872,6.4,5.6,,30.64,1,1.7
2010/9/9,Hobart,0.5,18.92,0.8,4.58,NNW,,NNW,SE,20,-4,57.99260515,67.15589687,1019.6,1012.672,4.133812722,3.705932297,,,0,2
2014/11/30,,,21.2,5.389920928,7.94,SW,17,NNW,SSW,3,,51.65039675,138.0747658,1025.088,,8,3.705932297,,15.38,0,1.1
,,15.5,34.64,5.389920928,8.094581609,WSW,24,ESE,,41,,74.09653737,118.6052981,1012.208,,4.133812722,,,,0,2
2016/4/4,Darwin,31.25,43.16,2.8,7.38,E,46,,ENE,,53,,77.76208842,1013.664,1007.832,3.2,,36.99,,0,2
,CoffsHarbour,21.95,35.24,2.2,8.094581609,SW,59,SW,SSE,,1,76.89690079,89.39941822,1022.064,1015.752,6.4,,29.97,30.08,0,
2017/2/7,Witchcliffe,20.45,33.32,5.389920928,8.094581609,,20,,,-3,1,64.17922367,84.38257104,1013.888,1010.12,4.133812722,3.705932297,,28.12,0,
2010/9/6,Newcastle,14.9,24.44,5.389920928,8.094581609,,33.38314977,,SE,13,5,74.01107527,101.2342289,1020.198382,,6.4,5.6,21.26,18.32,0,0.9
2008/12/16,Newcastle,,34.76,5.389920928,8.094581609,,50.38314977,NW,NE,29,21,50.64571472,101.7774808,1020.198382,1013.610038,,-1,22.69,30.5,0,1.2
2009/8/6,,18.05,41.84,16,6.66,,40,NNE,,19,25,13.3215755,71.83376837,1016.128,1008.976,5.6,,31.79,39.04,0,
2010/5/24,Woomera,1.7,,2,9.94,N,,,NNW,,11,27.95028172,79.64623385,1029.008,1019.272,0.8,-1,19.44,,0,2.1
,,22.4,,5.389920928,8.094581609,NW,61,WNW,WNW,9,10,46.23603417,,1020.198382,1013.610038,4.133812722,3.705932297,34.91,,0,6.9
2014/8/14,Canberra,-5.65,24.8,-2.8,8.42,W,20,SE,NNW,,39,56.51271614,107.0634086,1028.56,1019.184,,4.5,10.86,19.58,0,7.5
,Watsonia,-4,17.96,-3.6,,N,28,ENE,N,25,53,73.13270033,122.5488594,1024.528,1015.752,6.4,6.7,,11.46,0,2
2008/12/27,PerthAirport,11.6,,2,,ENE,18,NNE,W,8,,,79.2487912,1022.624,1014.872,6.4,,30.88,34.7,0,0.8
,MelbourneAirport,,,6,10.98,N,63,N,,6,38,,,1018.816,1013.64,6.4,,32.96,,0,1.6
2017/6/11,Bendigo,2.45,,-1.2,8.094581609,,40,SE,ENE,25,18,79.57983927,,1023.744,1013.904,6.4,6.7,13.46,,0,53.3
2010/7/27,Newcastle,20,36.44,5.389920928,,,71.38314977,N,NE,21,21,,86.28784175,1020.198382,1013.610038,1.6,0.1,31.4,,0,1.5
2009/10/2,Perth,23.75,,4.8,5.94,,25,ENE,WSW,,34,57.68476024,,1015.904,1011.44,6.4,6.7,,31.76,0,3.3
2014/8/31,MountGinini,,8.72,,8.094581609,W,54,W,,12,,88.5910276,97.90359835,,1013.610038,4.133812722,3.705932297,2.8,-1.56,0,2.4
2014/1/26,Mildura,,,,8.98,N,,NE,NW,,25,45.86443939,,1033.264,,0.8,0.1,,,0,
2010/8/29,Sale,18.05,32.36,5.389920928,8.094581609,E,58,NNE,,-11,22,,107.3876996,1022.288,1016.544,7.2,0.1,26.98,27.14,1,3.4
2012/3/10,PerthAirport,,32,3.2,7.54,NW,51,NNW,,56,5,83.94184388,56.18028462,1011.984,1008.36,3.2,6.7,,21.96,0,11.8
2016/3/17,Adelaide,20.75,,,8.094581609,N,14,NNE,W,9,36,21.93981743,66.79415582,1014.896,,4.133812722,3.705932297,36.21,41.28,0,2
2010/12/7,Richmond,10.25,33.32,10,8.094581609,SW,29,,,8,32,23.04700252,,1013.552,1010.912,4.133812722,,25.29,28.12,0,
2014/1/18,,,15.68,5.389920928,8.094581609,N,20,,NE,,8,92.54401101,102.5423174,1026.88,1019.712,7.2,7.8,11.51,,0,0.9
2016/8/17,Uluru,,47.6,5.389920928,8.094581609,,,E,ESE,9,1,11.68705521,70.33753941,1011.872,,4.133812722,3.705932297,,44.78,0,0.8
2010/9/13,NorfolkIsland,27.65,35.12,6.8,8.26,ESE,60,ESE,ESE,43,,77.57451373,79.6838419,1020.384,1014.432,6.4,5.6,34.26,31.34,0,2.3
,Darwin,34.55,44.24,12.8,8.82,E,60,NNW,WNW,25,,63.72276189,,,1006.512,2.4,1.2,42.58,38.2,0,45.9
2008/11/20,Nuriootpa,5.75,23.96,-3.2,5.86,NW,47,N,N,12,23,60.95097104,130.6863576,,1019.712,7.2,5.6,16.19,,0,3.5
2016/11/16,Albury,18.2,45.08,5.389920928,8.094581609,NE,54,NE,NE,,4,19.37626315,76.7521984,1022.848,1013.376,4.133812722,,34.91,,0,2.3
2017/1/19,Watsonia,13.25,42.44,7.2,12.58,N,67,NNE,N,8,12,34.52779392,84.04444264,1020.16,,1.6,,,38.48,0,3.8
2016/1/7,Tuggeranong,-13.75,20.72,,8.094581609,N,16,WNW,,,,53.60399789,99.28944605,1033.712,1024.2,4.133812722,3.705932297,6.31,14.4,0,2.4
2017/3/27,Penrith,12.2,23.96,5.389920928,8.094581609,,25,SSW,,13,8,80.04263037,108.824038,1020.198382,,4.133812722,3.705932297,19.44,,0,3.5
2016/3/15,,19.25,33.2,5.6,2.74,W,94,WNW,NNE,34,10,60.45006959,81.87191929,1005.152,,7.2,6.7,29.45,27.42,0,
,,12.8,34.64,,8.094581609,SE,63,E,ESE,15,22,32.1463466,94.34643619,1005.264,1002.64,4.133812722,3.705932297,26.33,28.12,0,0.1
,Walpole,21.2,35.12,5.389920928,8.094581609,NW,81,,NW,,53,56.15978358,84.1624327,1011.312,,4.133812722,3.705932297,30.88,30.22,0,8.1
2012/6/24,Tuggeranong,15.95,38,,,ENE,65,,E,30,28,52.76222896,101.4464688,1023.408,,4.133812722,3.705932297,27.63,32.6,0,0.9
,,17.9,,10,6.18,,38,ESE,SW,39,47,55.61472907,80.38092154,1017.696,1011.616,6.4,,,31.76,0,5.6
2010/6/10,Uluru,18.8,40.04,5.389920928,8.094581609,S,78,,SE,37,22,19.69536031,81.92281144,1019.376,,4.133812722,3.705932297,28.15,34.28,0,0.8
2011/7/12,Walpole,11,29.96,5.389920928,8.094581609,,60,ESE,SE,15,21,68.84333092,65.9370586,1017.808,1012.232,4.133812722,3.705932297,28.41,21.82,0,1.4
2012/11/1,Hobart,4.1,24.44,-5.6,7.14,NNW,78,,NNW,59,70,48.34570751,,,1006.512,,3.705932297,14.24,17.48,1,5.6
2012/10/30,Perth,,28.04,,8.98,ENE,51,,NNE,6,,54.5711578,122.1076679,1030.8,,1.6,0.1,15.93,23.5,0,0.3
2009/12/25,Dartmoor,11.15,,6,,S,48,,SE,46,17,,110.8854215,1024.192,1016.632,4.133812722,3.705932297,22.69,,0,2.7
2009/4/10,WaggaWagga,26.15,47.72,17.6,9.22,,62,ENE,NW,29,39,26.1098816,90.73491257,1021.84,1014.168,4.8,5.6,35.04,,0,2.1
,,6.2,,-6,1.94,N,48,WSW,WNW,44,3,64.03731663,,,1019.008,6.4,,14.89,12.58,1,1.5
2012/6/23,Sydney,27.35,38,15.2,9.86,S,34,WSW,,15,22,71.60181109,,1008.96,1006.072,4.133812722,3.705932297,34.39,33.58,0,2.5
,,,,-2.4,1.7,,27,,,20,,,82.80531775,1018.48,,7.2,6.7,13.59,10.62,0,2
2014/8/15,Katherine,,46.04,4,8.094581609,WSW,66,W,,51,,,97.87170383,,1005.456,6.4,5.6,,43.8,0,4.3
2013/9/4,Mildura,19.55,,18,,WSW,60,S,WSW,24,19,8.113045745,72.89385772,,,0.8,3.705932297,36.08,,0,2.2
2012/2/25,Canberra,1.85,,0.8,8.094581609,,72.38314977,,,35.73379964,,,,,1013.610038,4.133812722,3.705932297,15.02,17.34,0,3.7
,Launceston,9.95,30.44,,8.094581609,NW,38,,NW,10,,,82.3452783,1019.824,1012.408,4.133812722,3.705932297,,25.6,0,3.8
2012/7/15,NorfolkIsland,18.35,27.08,2,4.26,E,75,ESE,SE,0,32,53.86457413,65.21586905,1027.328,1020.064,6.4,,25.81,20.28,0,4
2014/5/23,,12.91741351,25.28,10.8,8.094581609,,34.38314977,W,,44,,59.12205291,129.0748872,1022.736,1019.448,7.2,3.705932297,24.9,26.51988214,0,3.5
,Williamtown,,25.04,,,WNW,58,,WNW,41,,44.80245181,125.5417508,1021.504,1013.904,4.8,,,19.3,0,2.4
2014/10/12,Melbourne,2.6,,-2.4,8.18,N,91,N,N,26,68,45.7683555,97.27147619,1028.336,1017.424,6.4,4.5,,18.32,0,1.6
2015/4/16,Perth,22.7,44.48,,10.58,NE,76,ENE,ENE,,46,20.52272581,73.19890824,1024.192,1015.664,4,2.3,35.04,41.56,0,1.4
2017/5/1,,,36.2,,,ESE,88,SE,,,,39.73600054,93.73511656,1017.36,1012.408,4.133812722,,30.1,,0,
2015/6/23,Woomera,,,6,2.26,N,67,N,NNW,40,,,97.27212719,1025.2,1015.4,6.4,,11.38,15.1,0,
2013/7/8,Witchcliffe,18.2,47.96,5.389920928,8.094581609,N,27,,WNW,-4,1,,75.14168044,,,4.133812722,,35.3,42.4,0,0.3
2017/5/17,,17.75,58.64,,8.094581609,NNE,90,N,N,63,59,,59.07800441,1020.198382,1013.610038,4.133812722,3.705932297,49.21,56.82,0,
2010/12/21,,9.05,26.6,-3.2,10.1,NE,29,ENE,ENE,43,3,46.91312868,,,1024.288,1.6,,20.09,21.4,0,2.1
,SalmonGums,,39.56,5.389920928,8.094581609,NNE,30,NE,NNW,,-9,,,1020.198382,,4.133812722,3.705932297,29.45,35.26,0,7.4
2016/11/10,,26.9,39.2,7.2,11.38,E,10,E,NE,,5,57.86240929,79.84919236,1020.272,,3.2,1.2,37.77,,0,
,SydneyAirport,24.8,35,8.4,,S,41,,S,5,,86.90853623,76.86406639,1019.936,1013.112,7.2,,30.62,28.12,0,
2016/8/11,Canberra,-9.4,20.72,-1.6,7.14,WNW,78,,WNW,,43,,115.0997576,1019.376,,1.6,6.7,6.7,13.42,0,1.5
2013/6/9,Albany,8.3,27.8,-2,9.86,,,,,,-11,63.13784941,68.20071067,,1013.816,,4.5,22.56,21.26,0,
,Tuggeranong,17.3,,5.389920928,8.094581609,ENE,51,ENE,NNE,,-2,54.67471884,89.71309757,,,4.133812722,3.705932297,26.2,,0,3.8
2014/2/1,Nhil,1.85,19.88,5.389920928,8.094581609,E,68,,ENE,62,16,74.83244089,92.78749367,,1023.408,4.133812722,3.705932297,,13.98,0,0.3
2016/7/30,Hobart,11.3,,,3.62,,64,NNW,NNW,74,-7,48.7699911,75.05688721,,1002.112,4.8,6.7,27.24,,0,5.6
2011/8/20,Albany,5.6,25.4,-4,9.78,,60.38314977,NW,,-6,10,60.34030869,102.3637805,1024.976,1014.608,1.6,-1,,19.58,0,8.2
2016/10/21,NorahHead,15.95,33.2,,8.094581609,NNE,39,N,NE,31,8,64.62279899,62.69909318,,1016.192,4.133812722,3.705932297,28.93,26.44,0,0.5
2011/9/3,,18.2,38.12,5.389920928,,S,36,SE,SSE,50,41,,85.35253382,1020.16,1013.464,4.133812722,3.705932297,30.49,34,0,2.1
2012/2/2,Cairns,18.05,37.76,4.8,10.66,E,,SSE,,22,59,48.71163281,80.648293,1018.928,1011.88,1.6,0.1,34,33.72,0,2.5
2010/8/23,Adelaide,6.8,24.08,5.389920928,8.094581609,WSW,23,,,24,29,75.11497869,112.9551166,1036.848,1027.192,4.133812722,3.705932297,15.8,,0,0.1
,Witchcliffe,-0.85,23.84,5.389920928,,N,54,N,,2,12,57.35530251,118.3002598,,1019.888,4.133812722,3.705932297,16.97,,0,0.4
2012/10/16,CoffsHarbour,12.5,29.72,0,,S,33,SW,S,,,67.39252708,64.42245721,,1024.728,1.6,6.7,26.2,23.22,0,21.8
,,24.2,30.08,5.389920928,8.094581609,WSW,85,W,,55,,60.18801561,72.19104074,1012.096,1009.856,,7.8,30.88,24.9,0,4.4
2013/11/14,Sydney,17,31.76,5.2,,,64.38314977,WNW,E,50,4,51.55690795,83.86141016,1024.528,,,2.3,,,0,
2014/8/27,AliceSprings,1.4,33.8,,10.34,S,36,ESE,S,37,55,19.41047324,,1025.648,1016.72,,-1,21.52,29.8,0,3.6
2009/5/28,Melbourne,6.5,22.52,,2.5,S,56,SW,S,,32,83.21741258,75.89695985,1017.696,1013.464,,,,15.94,0,8.7
2011/10/19,Moree,6.95,37.64,8.8,10.66,WSW,66,NNE,,52,55,16.16734366,88.6864582,1022.96,1014.256,1.6,3.4,29.06,,0,3.5
2013/12/14,,23.9,34.4,4,4.9,SSE,,S,S,30,6,,81.21491378,1020.048,1013.2,,5.6,30.88,29.8,0,0.9
2013/4/25,,,,,8.094581609,SSE,30,SSW,ESE,48,17,,101.9457503,1020.198382,1013.610038,4.133812722,,,34.14,0,2.4
2017/5/28,MelbourneAirport,21.35,30.08,15.6,1.7,,93,NE,SSW,35,65,110.395359,70.78951757,1012.88,1009.944,6.4,7.8,27.24,18.88,1,
2010/3/18,Uluru,28.85,50.12,,,NW,57,ESE,NNW,11,,20.45240296,62.67882853,1009.744,1004.4,,2.3,42.45,47.44,0,1.2
2012/5/29,Bendigo,3.2,35.96,5.389920928,,SSE,53,SSE,SSW,54,16,32.6248245,85.57967981,1021.28,1014.168,4.133812722,3.705932297,,,0,
2015/5/1,Moree,5.75,36.2,,10.58,ENE,35,ENE,S,28,-2,18.12154894,76.3501022,1024.528,1016.016,0.8,,,32.46,0,4
2013/12/11,Wollongong,19.4,36.08,5.389920928,8.094581609,,75,NE,ENE,26,0,67.88472795,59.77152692,1014.672,1009.416,,3.705932297,,27.56,0,
2016/11/4,Sale,,,5.389920928,8.094581609,ESE,,W,E,23,22,55.689235,87.25864942,,,4.133812722,3.705932297,16.19,22.24,0,
2016/6/29,,-2.65,,,,NNW,47,,N,44,44,90.78992018,105.5046264,1018.928,1012.232,,,7.87,10.2,1,4.4
,Portland,-2.05,,-2.4,4.98,W,19,WNW,W,-5,26,,,,,5.6,6.7,15.54,14.54,0,2.2
2014/9/3,Canberra,14.45,,8.4,8.02,E,69,E,SSW,37,1,50.26029668,107.8898811,1020.72,1016.192,6.4,,,23.08,1,1.8
2016/11/15,Albany,21.8,30.92,4.8,6.02,,47.38314977,,,,11.43587904,100.2288589,50.2927253,,,6.4,7.8,30.1,23.5,0,
2016/5/24,,13.55,23.96,-0.4,4.1,WNW,73,,,,22,,92.41026365,1040.432,,,4.5,,18.46,0,1.9
2013/5/2,,3.95,28.52,,8.094581609,WNW,55,NW,WNW,38,29,71.14813811,,1019.488,,,3.705932297,,21.54,0,1.7
,BadgerysCreek,20.45,40.4,5.389920928,8.094581609,,35,ESE,ENE,4,54,54.29906065,95.80289194,1022.176,,4.133812722,,33.35,,0,1.7
2016/12/3,Albury,,23.72,5.389920928,8.094581609,W,14,E,,37,-4,64.47816596,100.3050596,1033.152,1024.728,4.133812722,0.1,15.8,17.9,0,
2014/10/19,Watsonia,6.65,19.4,,4.74,NNW,35,,,0,50,76.91303871,,1019.712,1013.464,,6.7,,,0,0.4
,GoldCoast,16.85,28.76,5.389920928,8.094581609,NW,7,S,E,,48,79.1937604,99.82427107,1029.008,1020.416,4.133812722,3.705932297,26.33,24.2,1,4.7
,Albany,13.4,,-3.6,,,,SSW,SSW,,35,83.3748568,99.32646496,,1018.92,1.6,3.4,19.96,19.72,0,4
2015/6/26,Williamtown,18.2,38.24,54.4,,E,54,,ESE,2,,63.42142059,87.95485496,,1018.568,1.6,1.2,32.57,33.3,0,
2014/8/23,,,18.2,-5.2,2.5,NNW,62,,NNW,8,39,,81.97590253,,,4.133812722,3.705932297,,9.64,0,
2013/12/29,GoldCoast,28.7,39.08,5.389920928,8.094581609,ENE,68,ESE,ENE,0,9,,78.66813143,1019.6,,4.133812722,3.705932297,39.07,35.4,0,1.9
2014/9/3,Williamtown,35.15,52.16,25.2,7.54,WSW,94,W,WSW,,70,97.24490298,,1014.56,1011.88,2.4,7.8,47.39,30.78,0,14.5
2013/12/15,Sale,,32.84,5.389920928,8.094581609,,37,NW,ESE,,,52.48590255,135.9037213,,1020.152,4.133812722,3.705932297,18.79,26.86,0,2.5
2016/10/26,Moree,-0.4,29.6,1.2,10.34,,19,NE,,19,21,,94.16499965,1028,,3.2,1.2,21.13,22.8,0,0.9
,WaggaWagga,-1.15,35.6,4.4,11.46,,32,E,SE,,43,23.2390688,87.42736495,1030.8,1018.832,0.8,1.2,18.79,31.9,0,3.3
2010/6/25,,,32.96,1.2,7.14,NE,18,,NE,28,48,49.19614168,98.67473156,1019.04,1010.56,5.6,2.3,,,0,
2012/9/16,Cobar,,25.88,0.4,3.86,W,47,,W,41,,66.89469318,89.31874447,,,6.4,6.7,21.91,19.44,0,0.5
2009/7/14,,19.25,28.52,4,2.1,,60.38314977,N,WSW,8,12,85.83398754,80.95033374,1007.728,1004.664,7.2,7.8,26.33,,0,
,Nhil,4.25,,,8.094581609,WSW,61,S,WNW,-5,14,39.88260566,117.815693,,1014.168,4.133812722,3.705932297,16.97,29.66,0,0.6
2012/11/8,Darwin,32,43.28,5.2,,SE,80,,,28,29,70.12935723,87.94484999,1011.536,1006.776,,4.5,40.63,,0,5.6
2017/5/12,WaggaWagga,,24.32,-3.6,8.98,E,17,E,W,16,26,61.76109963,107.0912378,,1013.992,2.4,2.3,15.41,18.6,0,
2009/3/16,MelbourneAirport,7.1,19.64,-3.6,1.94,SSW,20,SW,SSW,,18,77.12679447,101.6692211,1030.128,1023.056,,6.7,15.02,12.02,0,1.3
2012/5/27,Perth,18.2,26,3.6,3.14,,61,W,SSW,41,56,94.4719847,,1008.848,,7.2,3.4,26.59,17.9,1,
2012/2/19,,2.3,36.68,4.4,11.86,SSE,19,SW,ESE,,,21.66420258,112.9406916,1020.832,1012.232,1.6,2.3,20.35,32.32,0,1.7
2016/5/23,PerthAirport,2.15,25.88,-2.8,8.5,,28,NNE,NW,,42,50.1418578,89.29387338,1019.6,,1.6,2.3,15.67,20.7,0,
2015/3/27,AliceSprings,,38.48,12,3.7,ESE,58,SSE,ENE,14,,17.88986426,61.90316356,1017.92,,6.4,,,34.98,0,3.5
2013/12/8,BadgerysCreek,16.25,31.88,5.389920928,8.094581609,ESE,68,SE,ENE,-13,-1,61.13762716,78.42804002,1022.512,1015.136,4.133812722,3.705932297,27.5,27.98,0,1.1
2011/11/23,Perth,23.45,,8.8,4.02,,51,WNW,W,2,36,68.08807606,,1014.896,1011.352,6.4,7.8,30.75,27,0,
2010/6/29,,12.65,34.4,5.389920928,8.094581609,NNW,40,,,31,64,59.14047385,60.62402206,1016.8,1006.6,,3.705932297,27.76,29.8,0,3.7
,Williamtown,11.6,34.88,,8.094581609,E,28,NE,ENE,,34,56.83717744,80.73464098,1020.608,,,3.705932297,29.71,29.8,0,3.6
